chunk	position	next	reference_nll	candidate_nll	kl	same_top
0	256	282	0.0354414	0.0359037	0.000188137	1
0	257	260	0.985257	0.929613	0.00199889	1
0	258	8552	1.82854	1.87913	0.00278244	1
0	259	3086	0.223812	0.213151	0.00197056	1
0	260	3297	6.60086	6.76152	0.00237619	1
0	261	23968	8.97905	8.8738	0.0055031	1
0	262	3297	1.144	1.27396	0.00890476	1
0	263	3922	6.97628	6.89207	0.0015729	1
0	264	411	0.0463325	0.061497	0.00219436	1
0	265	253	0.386681	0.433756	0.00355673	1
0	266	1791	1.52439	1.55507	0.00240548	1
0	267	281	0.531656	0.506978	0.000838709	1
0	268	260	0.296177	0.30566	0.000676208	1
0	269	216	1.16294	1.20556	0.00230234	1
0	270	34	0.0284948	0.0258718	0.00018262	1
0	271	32	0.00657174	0.00614591	1.94792e-05	1
0	272	32	0.085373	0.0737941	0.000831675	1
0	273	39	0.646397	0.667232	0.000425664	1
0	274	16984	2.68615	2.82286	0.00448465	1
0	275	2262	0.929986	0.856556	0.00226345	1
0	276	282	0.15325	0.16247	0.000623839	1
0	277	1073	7.17596	7.09146	0.00137198	1
0	278	288	1.18334	1.21086	0.00224692	1
0	279	4202	8.90034	9.02633	0.00577509	0
0	280	313	0.146114	0.154481	0.00199348	1
0	281	9067	7.08929	6.7914	0.0101935	0
0	282	411	0.00359331	0.0039956	4.17782e-05	1
0	283	18746	9.14849	9.10762	0.00261753	1
0	284	519	1.13406	1.0815	0.00513203	1
0	285	428	4.63445	4.63901	0.00552574	1
0	286	461	4.34513	4.46584	0.00615451	1
0	287	396	0.00948141	0.00597193	0.00117267	1
0	288	1673	0.503961	0.568722	0.00519083	1
0	289	1073	11.5917	11.4926	0.00123832	1
0	290	288	0.189414	0.196808	0.000658648	1
0	291	4202	0.000591675	0.000725059	1.70105e-05	1
0	292	313	0.000103828	0.000167133	1.57758e-05	1
0	293	436	0.672692	0.678233	0.00145631	1
0	294	4940	2.72898	2.64371	0.00349871	1
0	295	418	0.399099	0.338234	0.00541207	1
0	296	13363	11.9289	11.7124	0.00114543	1
0	297	22660	2.90457	3.03263	0.0112308	1
0	298	281	0.524884	0.548812	0.0014026	1
0	299	260	3.71721	3.74047	0.0032063	1
0	300	4528	4.80702	4.81708	0.00534812	1
0	301	46530	1.35076	1.14177	0.0121923	1
0	302	282	0.0258431	0.0229669	0.000467411	1
0	303	25667	5.46452	5.40944	0.00506409	1
0	304	366	0.0124786	0.0102213	0.000314482	1
0	305	24072	0.00601574	0.00638877	0.000116368	1
0	306	284	1.30509	1.11063	0.0121142	0
0	307	27065	0.331483	0.283649	0.0121076	1
0	308	4256	0.205563	0.19877	0.00171909	1
0	309	1673	0.296426	0.286652	0.00152041	1
0	310	389	2.10505	2.08401	0.00161647	1
0	311	9226	0.00621924	0.00655608	6.60243e-05	1
0	312	352	6.68039e-05	5.97965e-05	1.34932e-06	1
0	313	4870	1.94512	1.90848	0.00307915	1
0	314	455	0.00025047	0.000250819	1.09365e-06	1
0	315	281	0.461761	0.600784	0.0179884	1
0	316	827	4.64172	4.61882	0.00197568	1
0	317	9411	4.17889	4.10626	0.00350362	1
0	318	281	1.47857	1.53677	0.00324632	1
0	319	216	0.436316	0.411037	0.00193509	1
0	320	34	0.0117977	0.0102087	0.000123164	1
0	321	32	0.000748191	0.000641172	1.13367e-05	1
0	322	32	0.0704396	0.0731777	5.3018e-05	1
0	323	40	1.22684	1.22023	0.000119969	1
0	324	3297	0.990932	1.12406	0.00697398	1
0	325	4115	9.93545	9.9551	0.00877822	1
0	326	2501	1.9812	1.90058	0.00304158	1
0	327	7203	10.2659	10.146	0.00603365	1
0	328	22609	2.00206	2.30568	0.0160421	0
0	329	411	4.38771	4.46215	0.00483352	1
0	330	47363	7.89021	7.7472	0.00478444	0
0	331	7042	11.0542	11.0164	0.00196529	1
0	332	2250	5.19258	5.22303	0.00549252	1
0	333	1866	8.15549	8.00389	0.00517395	1
0	334	89	2.62337	2.4889	0.0228014	1
0	335	3297	5.1264	5.39185	0.0059422	1
0	336	284	1.54265	1.45077	0.00339594	1
0	337	4250	5.90225	5.92544	0.00299154	1
0	338	2393	4.33163	4.17892	0.00471245	1
0	339	377	6.55371	6.79483	0.00993241	1
0	340	3704	1.91037	2.19329	0.0121384	1
